Meter,Northing,Easting,Elevation,Desc,Carex,carex_m,carex_heights,rise,slope_dist,slope_percent,hd_calc,hd,soil_pos,soil_desc
0,5447764.257,504832.322,0.033,i: callsta-eleopar-spareme-zannpal-myriuss,0,0,,0,0,0,0,0,0.033,c1
2,5447766.088,504832.977,0.095,i: callsta-zannpal-myriuss,0,0,,0.062,2,0.031,1.999039692,1.999039692,,
4,5447768.001,504833.706,0.118,i: callsta-zannpal-myriuss-vero sp.,0,0,,0.023,2,0.0115,1.999867763,3.998907455,,
6,5447769.74,504834.44,0.163,i: zannpal-myriuss-lythsal,0,0,,0.046,2,0.023,1.99947121,5.998378665,0.163,c2
8,5447771.665,504835.177,0.165,i: callsta-zannpal-myriuss-lythsal,0,0,,0.001,2,0.0005,1.99999975,7.998378415,,
10,5447773.532,504835.856,0.202,i: callsta-zannpal-myriuss,0,0,,0.037,2,0.0185,1.999657838,9.998036253,,
12,5447775.411,504836.608,0.233,i: callsta-myriuss-limoaqu-pers. sp.-crasaqu-equiflu,0,0,,0.032,2,0.016,1.999744049,11.9977803,0.233,c3
14,5447777.215,504837.362,0.29,i: callsta-myriuss-limoaqu-pers. sp.-vero sp.-equiflu,0,0,,0.057,2,0.0285,1.999188244,13.99696855,,
16,5447779.1,504838.146,0.379,s: myriuss,0,0,,0.089,2,0.0445,1.998022686,15.99499123,,
18,5447780.991,504838.869,0.409,d: myriuss / s: limoaqu,0,0,,0.03,2,0.015,1.999775038,17.99476627,0.409,c4
20,5447782.852,504839.6,0.552,s: myriuss-limoaqu,0,0,,0.143,2,0.0715,1.994907268,19.98967354,,
22,5447784.723,504840.184,0.812,s: myriuss-carelyn,0,0,,0.26,2,0.13,1.983311235,21.97298477,,
24,5447786.712,504841.003,0.711,d: carelyn,55,0.55,1.261,-0.101,2,-0.0505,1.997454617,23.97043939,0.711,c5
26,5447788.448,504841.629,0.863,d: carelyn,68.2,0.682,1.545,0.153,2,0.0765,1.994173312,25.9646127,,
28,5447790.221,504842.176,0.991,d: carelyn,86.2,0.862,1.853,0.127,2,0.0635,1.995979903,27.96059261,,
30,5447792.079,504843.039,1.1,d: carelyn,85.2,0.852,1.952,0.109,2,0.0545,1.99703635,29.95762896,1.1,c6
32,5447793.882,504843.813,1.132,d: phalaru / s: lythsal,89.2,0.892,2.024,0.032,2,0.016,1.999744049,31.95737301,,
34,5447795.756,504844.496,1.156,d: phalaru / s: lythsal,0,0,,0.025,2,0.0125,1.999843768,33.95721677,,
36,5447797.45,504845.397,1.173,d: phalaru / s: typhlat,0,0,,0.017,2,0.0085,1.999927754,35.95714453,,
