Meter,Northing,Easting,Elevation,Desc,carex,carex_m,carex_height,soil_pos,soil_desc,rise,slope_dist,slope_percent,hd_calc,hd
0,5446007.472,501923.69,-0.138,i:  callsta-crasaqu          ,0,,,-0.138,c1,0,0,0,0,0
2,5446009.432,501923.419,0.073,i:  callsta-pers sp.-eleopar         ,0,,,,,0.211,2,0.1055,1.988961808,1.988961808
4,5446011.434,501923.154,0.229,i:  callsta-pers sp.-eleopar-crasaqu        ,0,,,,,0.156,2,0.078,1.993943621,3.98290543
6,5446013.391,501922.803,0.361,i:  callsta-crasaqu-limoaqu-spareme      ,0,,,,,0.132,2,0.066,1.99565818,5.978563609
8,5446015.326,501922.424,0.465,s:  spareme,0,,,,,0.104,2,0.052,1.997301471,7.975865081
10,5446017.282,501922.007,0.454,i:  callsta-eleopar-lythsal-limoaqu-spareme-sagilat    ,0,,,,,-0.011,2,-0.0055,1.999969751,9.975834831
12,5446019.273,501921.666,0.486,s: lythsal,0,,,0.486,c2,0.033,2,0.0165,1.999727806,11.97556264
14,5446021.131,501921.285,0.492,d: lythsal,0,,,,,0.005,2,0.0025,1.99999375,13.97555639
16,5446023.172,501920.954,0.488,d: lythsal,0,,,,,-0.004,2,-0.002,1.999996,15.97555239
18,5446025.136,501920.515,0.565,d: lythsal,0,,,,,0.078,2,0.039,1.998480733,17.97403312
20,5446027.061,501919.99,0.514,d: spareme / s: lythsal,0,,,,,-0.052,2,-0.026,1.999324343,19.97335746
22,5446029.025,501919.571,0.482,s: spareme,0,,,,,-0.032,2,-0.016,1.999744049,21.97310151
24,5446031.007,501919.143,0.424,s: spareme,0,,,0.424,c3,-0.057,2,-0.0285,1.999188244,23.97228976
26,5446032.897,501918.653,0.477,s: spareme-lythsal,0,,,,,0.052,2,0.026,1.999324343,25.9716141
28,5446034.781,501918.206,0.487,s: spareme-lythsal,0,,,,,0.011,2,0.0055,1.999969751,27.97158385
30,5446036.804,501917.941,0.477,s: spareme-lythsal,0,,,,,-0.01,2,-0.005,1.999975,29.97155885
32,5446038.786,501917.563,0.439,s: spareme-lythsal,0,,,,,-0.038,2,-0.019,1.999639098,31.97119795
34,5446040.661,501917.148,0.445,d: lythsal / s: spareme,0,,,,,0.006,2,0.003,1.999991,33.97118895
36,5446042.637,501916.829,0.398,s: spareme-lythsal,0,,,0.398,c4,-0.047,2,-0.0235,1.999447979,35.97063693
38,5446044.557,501916.42,0.378,d: spareme / s: lythsal,0,,,,,-0.02,2,-0.01,1.999900007,37.97053693
40,5446046.494,501916.015,0.338,d: spareme,0,,,,,-0.039,2,-0.0195,1.999619858,39.97015679
42,5446048.431,501915.571,-0.012,i:  zannpal-elodcan-schotab-carelyn-agrosto,57.6,0.576,0.564,,,-0.351,2,-0.1755,1.969893459,41.94005025
44,5446050.417,501915.312,0.214,d: carelyn / s: agrosto-schotab-eleopaal,63.8,0.638,0.852,,,0.227,2,0.1135,1.987240893,43.92729114
46,5446052.434,501914.91,0.494,d: carelyn / s: agrosto-schotab,89.2,0.892,1.386,,,0.28,2,0.14,1.980683493,45.90797464
48,5446054.387,501914.492,0.552,d: carelyn / s: agrosto-schotab,98.2,0.982,1.534,0.552,c5,0.058,2,0.029,1.99915953,47.90713417
50,5446056.343,501914.119,0.587,d: agrosto / s: phalaru-schotab-carelyn,78.6,0.786,1.373,,,0.034,2,0.017,1.999711063,49.90684523
52,5446058.248,501913.687,0.667,d: phalaru / s: agrosto,0,,,,,0.08,2,0.04,1.998401917,51.90524715
54,5446060.164,501913.205,0.777,d: phalaru / s: agrosto-lysiame,0,,,,,0.111,2,0.0555,1.996926848,53.90217399
56,5446062.045,501912.768,0.913,d: phalaru / s: agrosto,0,,,,,0.136,2,0.068,1.995391974,55.89756597
58,5446063.791,501912.35,1.154,d: phalaru / s: agrosto,0,,,,,0.241,2,0.1205,1.985635989,57.88320196
60,5446065.637,501911.752,1.226,d: phalaru / s: agrosto,0,,,1.226,c6,0.072,2,0.036,1.998705258,59.88190722
62,5446067.489,501911.05,1.208,d: wood debris,0,,,,,-0.018,2,-0.009,1.999919005,61.88182622
64,5446069.196,501910.244,1.237,d: wood debris,0,,,,,0.029,2,0.0145,1.999789783,63.881616
