Meter,Northing,Easting,Elevation,Desc,carex,carex_m,carex_height,soil_pos,soil_desc,rise,slope_dist,slope_percent,hd_calc,hd
0,5445218.762,501735.155,-0.392,i: trigsci           ,,,,-0.392,c1,0,0,0,0,0
2,5445220.718,501734.882,-0.29,i: trigsci-zannpal           ,,,,,,0.103,2,0.0515,1.997353014,1.997353014
4,5445222.672,501734.573,-0.255,i: trigsci-zannpal-callsta-limoaqu          ,,,,,,0.034,2,0.017,1.999711063,3.997064077
6,5445224.666,501734.321,-0.225,i: trigsci-zannpal           ,,,,,,0.03,2,0.015,1.999775038,5.996839115
8,5445226.629,501733.998,-0.18,i: trigsci-zannpal           ,,,,,,0.046,2,0.023,1.99947121,7.996310325
10,5445228.614,501733.695,-0.149,i: zannpal-callsta           ,,,,,,0.031,2,0.0155,1.999759793,9.996070118
12,5445230.588,501733.424,-0.122,i: zannpal-callsta           ,,,,,,0.026,2,0.013,1.999831021,11.99590114
14,5445232.56,501733.1,-0.079,i: zannpal,,,,-0.079,c2,0.044,2,0.022,1.999516176,13.99541731
16,5445234.54,501732.838,-0.039,i: zannpal-trigsci-alistri           ,,,,,,0.039,2,0.0195,1.999619858,15.99503717
18,5445236.513,501732.543,-0.017,i: zannpal-eleopal           ,,,,,,0.023,2,0.0115,1.999867763,17.99490494
20,5445238.408,501732.258,0.027,i: zannpal-trigsci-callsta,,,,,,0.044,2,0.022,1.999516176,19.99442111
22,5445240.461,501731.979,0.038,i: zannpal-trigsci-callsta-limoaqu,,,,,,0.011,2,0.0055,1.999969751,21.99439086
24,5445242.459,501731.677,0.129,i: trigsci-callsta-limoaqu,,,,,,0.091,2,0.0455,1.997932959,23.99232382
26,5445244.383,501731.379,0.206,i: callsta-trigsci-eleopal-lilaocc-carelyn-alistri,22.8,0.228,0.434,,,0.077,2,0.0385,1.998519396,25.99084322
28,5445246.369,501731.091,0.304,s: eleopal,27.4,0.274,0.578,0.304,c3,0.099,2,0.0495,1.997554244,27.98839746
30,5445248.288,501730.784,0.632,s: eleopal,16.2,0.162,0.794,,,0.327,2,0.1635,1.973792043,29.9621895
32,5445250.219,501730.467,0.801,d: carelyn / s: eleopal,31.4,0.314,1.115,,,0.169,2,0.0845,1.992897761,31.95508727
34,5445252.243,501730.148,0.828,d: carelyn / s: lythsal,57,0.57,1.398,,,0.027,2,0.0135,1.999817775,33.95490504
36,5445254.248,501729.879,0.77,d: carelyn / s: lythsal,81.4,0.814,1.584,,,-0.057,2,-0.0285,1.999188244,35.95409328
38,5445256.236,501729.502,0.802,d: carelyn / s: lythsal,92.2,0.922,1.724,,,0.032,2,0.016,1.999744049,37.95383733
40,5445258.119,501729.24,0.876,d: carelyn / s: lythsal,102.8,1.028,1.904,,,0.074,2,0.037,1.998632404,39.95246974
42,5445260.167,501729.032,0.772,d: carelyn / s: lythsal-schotab,111,1.11,1.882,0.772,c4,-0.105,2,-0.0525,1.997249435,41.94971917
44,5445262.076,501728.84,0.961,s: carelyn-agrosto-lythsal,107.8,1.078,2.039,,,0.19,2,0.095,1.991035632,43.9407548
46,5445264.028,501728.411,0.904,s: carelyn-agrosto-lythsal,119.4,1.194,2.098,,,-0.057,2,-0.0285,1.999188244,45.93994305
48,5445266.066,501728.16,0.941,d: carelyn / s: lythsal-agrosto,111.6,1.116,2.057,,,0.037,2,0.0185,1.999657838,47.93960089
50,5445267.995,501727.792,0.938,s: carelyn-galitri-lythsal,90.2,0.902,1.84,,,-0.003,2,-0.0015,1.99999775,49.93959864
52,5445270.036,501727.605,0.993,d: carelyn-agrosto,78.6,0.786,1.779,,,0.055,2,0.0275,1.999244179,51.93884282
54,5445271.997,501727.281,1.02,s: carelyn-lythsal-agrosto-schotab,83.8,0.838,1.858,,,0.027,2,0.0135,1.999817775,53.93866059
56,5445274.01,501726.88,1.039,d: glyc sp.-schotab / s: agrosto,,,,1.039,c5,0.019,2,0.0095,1.999909756,55.93857035
58,5445275.971,501726.549,1.093,d: phalaru,,,,,,0.054,2,0.027,1.999271398,57.93784175
60,5445277.873,501726.262,1.089,d: wood debris / s: phalaru,,,,,,-0.003,2,-0.0015,1.99999775,59.9378395
62,5445279.918,501725.839,1.054,d: agrosto / s: sagilat-schotab,,,,,,-0.035,2,-0.0175,1.99969382,61.93753332
64,5445281.872,501725.741,1.045,d: agrosto / s: sagilat,,,,,,-0.01,2,-0.005,1.999975,63.93750832
66,5445283.799,501725.249,1.134,d: agrosto / s: sagilat-carelyn,93.4,0.934,2.068,,,0.09,2,0.045,1.99797807,65.93548639
68,5445285.752,501724.938,1.166,d: carelyn-agrosto,86.4,0.864,2.03,,,0.032,2,0.016,1.999744049,67.93523044
70,5445287.717,501724.759,1.166,d: agrosto / s: carelyn-phalaru,91.6,0.916,2.082,1.166,c6,0,2,0,2,69.93523044
72,5445289.556,501724.298,1.266,d: phalaru-agrosto,,,,,,0.1,2,0.05,1.997504678,71.93273511
74,5445291.577,501724.347,1.219,d: physcarp-cratdou,,,,,,-0.047,2,-0.0235,1.999447979,73.93218309
