Meter,Northing,Easting,Elevation,Desc,Carex,carex_m,carex_heights,rise,slope_dist,slope_percent,hd_calc,hd,soil_pos,soil_desc
0,5435789.916,490072.249,-0.241,i:  schopun,,,,0,0,0,0,0,-0.241,c1
2,5435788.569,490070.812,-0.221,i:  schopun,,,,0.02,2,0.01,1.9999000074994,1.9999000074994,,
4,5435787.221,490069.318,-0.184,i:  schopun-eleopal,,,,0.037,2,0.0185,1.9996578378263,3.9995578453256,,
6,5435785.839,490067.884,-0.154,i:  schopun-eleopal,,,,0.03,2,0.015,1.9997750379616,5.9993328832873,,
8,5435784.442,490066.481,-0.124,i:  schopun-eleopal-carelyn,8.3,0.083,-0.041,0.03,2,0.015,1.9997750379616,7.9991079212489,,
10,5435783.062,490065.01,-0.055,i:  schopun-eleopal,,,,0.069,2,0.0345,1.9988108114685,9.9979187327174,,
12,5435781.69,490063.571,-0.064,i:  schopun-eleopal,,,,-0.009,2,-0.0045,1.9999797503075,11.9978984830249,,
14,5435780.288,490062.132,-0.045,i:  schopun-eleopal-carelyn,5.8,0.058,0.013,0.019,2,0.0095,1.9999097561083,13.9978082391333,,
16,5435778.908,490060.676,-0.103,i: eleopal,,,,-0.058,2,-0.029,1.9991595300893,15.9969677692225,,
18,5435777.558,490059.228,-0.089,s: eleopal,,,,0.014,2,0.007,1.9999510018007,17.9969187710232,,
20,5435776.176,490057.774,-0.069,s: eleopal / i: schopun,,,,0.02,2,0.01,1.9999000074994,19.9968187785226,,
22,5435774.79,490056.307,-0.035,s: eleopal / i: schopun,,,,0.034,2,0.017,1.9997110626257,21.9965298411482,,
24,5435773.446,490054.858,-0.005,s: eleopal / i: schopun,,,,0.03,2,0.015,1.9997750379616,23.9963048791099,,
26,5435772.077,490053.416,0.069,s: eleopal / i: schopun-carelyn,10.8,0.108,0.177,0.074,2,0.037,1.9986324040191,25.9949372831290,,
28,5435770.686,490051.983,0.142,s: eleopal / i: schopun-carelyn,9.7,0.097,0.239,0.073,2,0.0365,1.9986690796914,27.9936063628204,,
30,5435769.343,490050.509,0.185,s: eleopal / i: schopun,,,,0.043,2,0.0215,1.9995379101946,29.9931442730150,,
32,5435767.905,490049.072,0.226,s: eleopal / i: schopun-carelyn,11.6,0.116,0.342,0.041,2,0.0205,1.9995798824112,31.9927241554261,,
34,5435766.539,490047.626,0.275,s: eleopal / i: schopun,,,,0.049,2,0.0245,1.9994000200900,33.9921241755161,,
36,5435765.203,490046.15,0.35,d: eleopal / i: schopun,,,,0.075,2,0.0375,1.9985952314184,35.9907194069344,,
38,5435763.839,490044.716,0.398,d: eleopal / s: schopun,,,,0.048,2,0.024,1.9994242487126,37.9901436556471,,
40,5435762.456,490043.275,0.461,d: schopun / s: eleopal / i: carelyn,32,0.32,0.781,0.063,2,0.0315,1.9990084878100,39.9891521434571,,
42,5435761.06,490041.849,0.552,d: schopun / s: eleopal / i: carelyn,47.1,0.471,1.023,0.091,2,0.0455,1.9979329589157,41.9870851023728,,
44,5435759.672,490040.425,0.649,d: schopun / s: eleopal / i: carelyn,47.3,0.473,1.122,0.097,2,0.0485,1.9976518916923,43.9847369940651,,
46,5435758.335,490038.925,0.633,d: eleopal-schopun,,,,-0.016,2,-0.008,1.9999360030718,45.9846729971369,,
48,5435757.045,490037.429,0.608,d: eleopal-schopun,,,,-0.025,2,-0.0125,1.9998437683082,47.9845167654451,,
50,5435755.619,490036.044,0.641,d: eleopal-schopun,,,,0.033,2,0.0165,1.9997278055774,49.9842445710225,0.641,c2
