Meter,Northing,Easting,Elevation,Desc,Carex,carex_m,carex_heights,rise,slope_dist,slope_percent,hd_calc,hd,soil_pos,soil_desc
0,5435680.648,489871.372,-1.223,No plants,,,,0,0,0,0,0,,
2,5435679.238,489872.633,-0.721,i: eleopal-schopun,,,,0.502,2,0.251,1.9398277112808,1.9398277112808,-0.721,c1
4,5435678.074,489873.892,-0.045,d: schopun / i: eleopal,,,,0.676,2,0.338,1.8946973320421,3.8345250433229,,
6,5435676.624,489875.433,0.251,d: schopun / i: eleopal,,,,0.296,2,0.148,1.9784493941068,5.8129744374297,,
8,5435675.206,489876.934,0.405,d: carelyn / s: schopun,77,0.77,1.175,0.154,2,0.077,1.9940972351890,7.8070716726187,0.405,c2
10,5435673.674,489878.207,0.481,d: carelyn / s: schopun,119.5,1.195,1.676,0.076,2,0.038,1.9985575619725,9.8056292345912,,
12,5435672.387,489879.588,0.564,d: carelyn / i: eleopal-schopun-agrosto,106.8,1.068,1.632,0.083,2,0.0415,1.9982799714208,11.8039092060120,,
14,5435671.124,489881.037,0.468,d: carelyn / i: eleopal-sagilat-agrosto,95.2,0.952,1.42,-0.096,2,-0.048,1.9976999736833,13.8016091796953,0.468,c3
16,5435669.769,489882.541,0.447,d: carelyn / s: eleopal,80.6,0.806,1.253,-0.021,2,-0.0105,1.9998897591155,15.8014989388108,,
18,5435668.362,489883.911,0.739,d: carelyn / s: agrosto,92,0.92,1.659,0.292,2,0.146,1.9790188363029,17.7805177751136,,
20,5435667.053,489885.399,0.78,s: eleopal-carelyn / i: schopun-sagilat,90.8,0.908,1.688,0.041,2,0.0205,1.9995798824112,19.7800976575248,0.78,c4
22,5435665.722,489886.872,0.834,d eleopal / i: schopun-sagilat-agrosto,78.4,0.784,1.618,0.054,2,0.027,1.9992713983388,21.7793690558636,,
24,5435664.359,489888.382,0.889,d: eleopal / s: agrosto,,,,0.055,2,0.0275,1.9992441786654,23.7786132345290,,
26,5435663.025,489889.829,0.922,d: carelyn-eleopal / s: agrosto,69.2,0.692,1.614,0.033,2,0.0165,1.9997278055774,25.7783410401064,0.922,c5
28,5435661.701,489891.331,0.968,d: carelyn / s: agrosto,102,1.02,1.988,0.046,2,0.023,1.9994712097883,27.7778122498947,,
30,5435660.461,489892.802,0.986,d: carelyn / s: agrosto,114,1.14,2.126,0.018,2,0.009,1.9999190049204,29.7777312548151,,
32,5435659.193,489894.238,0.97,d: carelyn / s: agrosto,124,1.24,2.21,-0.016,2,-0.008,1.9999360030718,31.7776672578869,0.97,c6
