Meter,Northing,Easting,Elevation,Desc,carex,carex_m,carex_height,soil_pos,soil_desc,rise,slope_dist,slope_percent,hd_calc,hd
0,5450169.056,494890.78,-0.539,i: callsta,0,0,,-0.539,c1,0,0,0,0,0
2,5450171.074,494890.412,-0.353,i: callsta,0,0,,,,0.186,2,0.093,1.991406703,1.991406703
4,5450173.042,494889.91,-0.041,i: pers. sp.,0,0,,,,0.313,2,0.1565,1.975948663,3.967355365
6,5450174.791,494889.372,0.264,s: typhang,0,0,,0.264,c2,0.304,2,0.152,1.977288791,5.944644156
8,5450176.61,494888.677,0.502,s: typhang,74,0.74,1.242,,,0.239,2,0.1195,1.985870897,7.930515053
10,5450178.646,494888.126,0.657,d: carelyn / s: typhang ,83.8,0.838,1.495,,,0.155,2,0.0775,1.994020672,9.924535724
12,5450180.547,494887.731,0.745,d: carelyn / s: agrosto,79.2,0.792,1.537,0.745,c3,0.088,2,0.044,1.998066807,11.92260253
14,5450182.468,494887.199,0.79,d: carelyn / s: agrosto,77.4,0.774,1.564,,,0.045,2,0.0225,1.999493942,13.92209647
16,5450184.412,494886.571,0.953,d: carelyn / s: agrosto,103,1.03,1.983,,,0.163,2,0.0815,1.993390658,15.91548713
18,5450186.29,494885.924,0.925,d: carelyn / s: agrosto,94.3,0.943,1.868,0.925,c4,-0.028,2,-0.014,1.999804029,17.91529116
20,5450188.084,494885.239,1.043,d: carelyn / s: agrosto,136,1.36,2.403,,,0.118,2,0.059,1.996528062,19.91181922
