Meter,Northing,Easting,Elevation,Desc,soil_pos,soil_desc,rise,slope_dist,slope_percent,hd_calc,hd
0,5449626.934,493307.377,0.294,i: callsta-eleopar-pers sp.,0.294,c1,0,0,0,0,0
2,5449627.907,493305.594,0.287,no plants,,,-0.007,2,-0.0035,1.99998775,1.99998775
4,5449628.889,493303.892,0.33,no plants,,,0.042,2,0.021,1.999559146,3.999546896
6,5449629.851,493302.152,0.372,i: callsta,0.372,c2,0.043,2,0.0215,1.99953791,5.999084806
8,5449630.825,493300.382,0.413,i: callsta,,,0.04,2,0.02,1.99960012,7.998684926
10,5449631.778,493298.666,0.458,i: callsta,,,0.046,2,0.023,1.99947121,9.998156136
12,5449632.706,493296.898,0.501,i: callsta,0.501,c3,0.043,2,0.0215,1.99953791,11.99769405
14,5449633.599,493295.163,0.625,i: callsta-limoaqu-eleopar-crasaqu-lythsal,,,0.124,2,0.062,1.996167047,13.99386109
16,5449634.62,493293.403,0.731,i: callsta-limoaqu-eleopar-crasaqu-lythsal-pers sp.,,,0.105,2,0.0525,1.997249435,15.99111053
18,5449635.455,493291.657,0.817,i: callsta-limoaqu-lilaocc-crasaqu-lythsal-juncart,0.817,c4,0.087,2,0.0435,1.998110431,17.98922096
20,5449636.278,493289.761,0.855,s: lythsal,,,0.038,2,0.019,1.999639098,19.98886006
22,5449637.234,493288.032,0.849,s: lythsal,,,-0.006,2,-0.003,1.999991,21.98885106
24,5449638.129,493286.258,0.797,d: lythsal,0.797,c5,-0.052,2,-0.026,1.999324343,23.9881754
26,5449639.373,493284.642,0.611,d: lythsal / s: typhlat,,,-0.186,2,-0.093,1.991406703,25.9795821
28,5449640.285,493282.986,0.696,d: lythsal / s: typhlat,,,0.085,2,0.0425,1.998196193,27.97777829
30,5449641.314,493281.18,0.633,d: lythsal / s: typhlat,0.633,c6,-0.063,2,-0.0315,1.999008488,29.97678678
