Meter,Northing,Easting,Elevation,desc,carex,carex_m,carex_height,soil_pos,soil_desc,rise,slope_dist,slope_percent,hd_calc,hd
0,5449649.966,493302.268,0.376,i: callsta,0,0,,0.376,c1,0,0,0,0,0
2,5449651.627,493301.262,0.468,i: eleopal,0,0,,,,0.092,2,0.046,1.997887352,1.997887352
4,5449653.387,493300.318,0.508,no plants,0,0,,,,0.04,2,0.02,1.99960012,3.997487472
6,5449655.101,493299.263,0.507,i: bidecer,0,0,,,,-0.001,2,-0.0005,1.99999975,5.997487222
8,5449656.85,493298.333,0.534,i: callsta,0,0,,0.534,c2,0.027,2,0.0135,1.999817775,7.997304997
10,5449658.579,493297.356,0.535,i: callsta,0,0,,,,0.001,2,0.0005,1.99999975,9.997304747
12,5449660.322,493296.428,0.557,i: lythsal-eleopal,0,0,,,,0.022,2,0.011,1.999879011,11.99718376
14,5449662.043,493295.441,0.491,d: lythsal / i: callsta,0,0,,,,-0.065,2,-0.0325,1.998944586,13.99612834
16,5449663.718,493294.391,0.561,d: lythsal / i: callsta,0,0,,0.561,c3,0.069,2,0.0345,1.998810811,15.99493916
18,5449665.479,493293.388,0.563,i: lythsal-callsta-eleopal,0,0,,,,0.002,2,0.001,1.999999,17.99493816
20,5449667.158,493292.35,0.561,i: lythsal,0,0,,,,-0.001,2,-0.0005,1.99999975,19.99493791
22,5449668.931,493291.43,0.598,s: lythsal / i: agrosto,0,0,,,,0.036,2,0.018,1.999676079,21.99461398
24,5449670.673,493290.423,0.648,s: schotab,59.2,0.592,1.24,0.648,c4,0.05,2,0.025,1.999375293,23.99398928
26,5449672.615,493289.688,0.748,d: carelyn / s: lythsal,84.9,0.849,1.597,,,0.101,2,0.0505,1.997454617,25.99144389
28,5449674.22,493288.71,0.712,d: carelyn / s: lythsal,119.5,1.195,1.907,,,-0.036,2,-0.018,1.999676079,27.99111997
30,5449675.848,493287.596,0.77,d: carelyn / s: lythsal,111.4,1.114,1.884,,,0.057,2,0.0285,1.999188244,29.99030822
32,5449677.641,493286.7,0.784,d: carelyn / s: lythsal,123.4,1.234,2.018,0.784,c5,0.015,2,0.0075,1.999943752,31.99025197
34,5449679.473,493285.741,0.861,d: carelyn / s: lythsal,110.6,1.106,1.967,,,0.077,2,0.0385,1.998519396,33.98877137
36,5449681.193,493284.812,0.867,d: carelyn / s: agrosto,113.4,1.134,2.001,,,0.006,2,0.003,1.999991,35.98876237
38,5449682.938,493284.068,1.166,d: carelyn / s: agrosto,126.2,1.262,2.428,,,0.299,2,0.1495,1.978017556,37.96677992
40,5449684.644,493282.971,0.935,d: carelyn / s: agrosto,123.4,1.234,2.169,0.935,c6,-0.23,2,-0.115,1.986904746,39.95368467
