Name,Northing,Easting,Elevation,Description,Code & Attribute
1,5438954.799,492028.249,-1.223,,
2,5438952.893,492028.556,-1.104,,
3,5438950.984,492028.931,-1.025,0,
4,5438949.096,492029.270,-0.917,,
5,5438947.016,492029.570,-1.072,,
6,5438945.056,492030.012,-1.051,,
7,5438943.116,492030.262,-0.786,,
8,5438941.243,492030.601,-0.390,,
9,5438939.375,492030.927,0.001,,
10,5438937.464,492031.408,0.060,,
11,5438935.554,492031.787,0.174,,
12,5438933.553,492031.945,0.286,,
13,5438931.461,492032.273,0.391,,
14,5438929.595,492032.673,0.424,,
15,5438927.699,492033.515,0.192,,
16,5438925.840,492033.988,0.360,,
17,5438923.861,492034.328,0.461,,
18,5438921.920,492034.869,0.536,,
19,5438919.942,492035.304,0.693,,
20,5438918.103,492035.802,0.877,,
21,5438916.152,492036.264,1.014,,
22,5438914.205,492036.574,0.994,,
23,5438912.189,492037.011,0.950,,
24,5438910.326,492037.508,0.929,,
25,5438908.397,492037.938,0.846,,
26,5438906.532,492038.538,0.620,,
27,5438904.732,492038.715,1.017,,
28,5438902.824,492039.229,0.717,,
29,5438900.872,492039.687,0.903,,
30,5438899.001,492040.106,1.056,,
31,5438897.110,492040.738,1.082,,
32,5438895.105,492040.949,1.029,,
33,5438893.201,492041.303,1.084,,
34,5438891.252,492041.805,1.096,,
35,5438889.281,492042.213,1.054,,
36,5438887.424,492042.804,1.029,,
37,5438885.519,492043.232,0.913,,
38,5438883.529,492043.770,0.946,,
39,5438881.592,492044.152,0.745,,
40,5438879.626,492044.542,0.700,,
41,5438877.726,492044.782,0.676,,
VRS1,5438930.244,492023.622,3.475,Base Setup,
VRS2,5438950.884,492027.547,-1.448,Base Setup,
VRS3,5438948.691,492029.161,-0.996,Base Setup,
VRS4,5438948.691,492029.161,-0.996,Base Setup,
VRS5,5438948.717,492029.099,-1.271,Base Setup,
VRS6,5438925.682,492033.834,0.382,Base Setup,
VRS7,5438905.534,492037.041,1.124,Base Setup,
VRS8,5438905.534,492037.041,1.124,Base Setup,
VRS9,5438897.115,492040.632,1.154,Base Setup,
VRS10,5438897.115,492040.632,1.154,Base Setup,
VRS11,5438885.512,492043.147,1.061,Base Setup,
VRS12,5438883.463,492043.679,0.912,Base Setup,
VRS13,5438883.463,492043.679,0.912,Base Setup,
VRS14,5438883.463,492043.679,0.912,Base Setup,
VRS15,5438877.678,492044.701,0.659,Base Setup,
