Name,Northing,Easting,Elevation,Description,Code & Attribute
1,5438344.619,489736.936,-0.635,,
2,5438342.786,489737.481,-0.622,,
3,5438340.815,489737.917,-0.638,,
4,5438338.878,489738.411,-0.684,,
5,5438336.948,489738.868,-0.639,,
6,5438335.026,489739.382,-0.229,,
7,5438333.090,489739.810,0.071,,
8,5438331.146,489740.221,0.158,,
9,5438329.342,489740.807,-0.166,,
10,5438327.395,489741.392,-0.036,,
11,5438325.434,489741.842,0.116,,
12,5438323.573,489742.319,-0.134,,
13,5438321.633,489742.830,-0.466,,
14,5438319.717,489743.284,-0.459,,
15,5438317.779,489743.802,-0.660,,
16,5438315.846,489744.251,-0.473,,
17,5438313.930,489744.649,-0.621,,
18,5438312.024,489745.132,-0.739,,
19,5438310.111,489745.594,-0.511,,
20,5438308.148,489745.984,-0.519,,
21,5438306.236,489746.410,-0.675,,
22,5438304.458,489746.995,-0.235,,
23,5438302.647,489747.395,0.038,,
24,5438300.937,489748.013,0.156,,
25,5438299.020,489748.331,0.277,,
26,5438297.118,489748.879,0.378,,
27,5438295.268,489748.807,0.438,,
28,5438293.212,489748.754,0.481,,
29,5438291.225,489748.908,0.485,,
30,5438289.245,489748.863,0.465,,
31,5438287.287,489749.013,0.494,,
32,5438285.264,489749.186,0.527,,
33,5438283.284,489749.317,0.448,,
34,5438281.268,489749.455,0.470,,
35,5438279.321,489749.689,0.494,,
36,5438277.392,489749.692,0.438,,
37,5438275.415,489749.862,0.404,,
38,5438273.431,489749.888,0.412,,
VRS1,5438349.588,489500.313,-0.934,Base Setup,
VRS2,5438344.704,489737.084,-0.652,Base Setup,
