Name,Northing,Easting,Elevation,Description,Code & Attribute
1,5435789.916,490072.249,-0.241,i:  trigsci*,
2,5435788.569,490070.812,-0.221,i:  trigsci*,
3,5435787.221,490069.318,-0.184,i:  trigsci*, eleopal,
4,5435785.839,490067.884,-0.154,i:  trigsci*, eleopal,
5,5435784.442,490066.481,-0.124,i:  schopun*, eleopal, carelyn,
6,5435783.062,490065.010,-0.055,i:  schopun*, eleopal,
7,5435781.690,490063.571,-0.064,i:  schopun, eleopal,
8,5435780.288,490062.132,-0.045,,
9,5435778.908,490060.676,-0.103,,
10,5435777.558,490059.228,-0.089,,
11,5435776.176,490057.774,-0.069,,
12,5435774.790,490056.307,-0.035,,
13,5435773.446,490054.858,-0.005,,
14,5435772.077,490053.416,0.069,,
15,5435770.686,490051.983,0.142,,
16,5435769.343,490050.509,0.185,,
17,5435767.905,490049.072,0.226,,
18,5435766.539,490047.626,0.275,,
19,5435765.203,490046.150,0.350,,
20,5435763.839,490044.716,0.398,,
21,5435762.456,490043.275,0.461,,
22,5435761.060,490041.849,0.552,,
23,5435759.672,490040.425,0.649,,
24,5435758.335,490038.925,0.633,,
25,5435757.045,490037.429,0.608,,
26,5435755.619,490036.044,0.641,,
27,5435753.934,490034.772,0.822,,
28,5435752.639,490033.354,0.672,,
29,5435751.260,490031.854,0.775,,
30,5435749.893,490030.463,0.714,,
31,5435748.576,490029.026,0.517,,
32,5435747.210,490027.528,0.657,,
33,5435745.782,490026.152,0.633,,
34,5435744.358,490024.672,0.809,,
35,5435743.054,490023.277,0.715,,
36,5435741.720,490021.812,0.736,,
37,5435740.241,490020.370,0.659,,
38,5435738.879,490018.924,0.717,,
39,5435737.409,490017.514,0.658,,
40,5435736.068,490016.085,0.694,,
41,5435734.700,490014.618,0.735,,
42,5435733.255,490013.218,0.722,,
43,5435731.881,490011.780,0.734,,
44,5435730.515,490010.336,0.716,,
45,5435729.159,490008.863,0.748,,
46,5435727.869,490007.371,0.715,,
47,5435726.481,490005.988,0.709,,
48,5435725.081,490004.462,0.741,,
49,5435723.682,490003.107,0.748,,
50,5435722.314,490001.674,0.761,,
51,5435720.946,490000.224,0.781,,
52,5435719.689,489998.610,0.809,,
53,5435718.386,489997.075,0.810,,
54,5435717.190,489995.453,0.837,,
55,5435715.917,489993.919,0.851,,
56,5435714.703,489992.382,0.885,,
57,5435713.317,489990.857,0.903,,
58,5435712.113,489989.323,0.947,,
59,5435710.843,489987.674,0.923,,
60,5435709.707,489986.100,0.975,,
61,5435708.365,489984.585,0.968,,
62,5435707.117,489983.054,0.969,,
63,5435705.898,489981.508,0.995,,
64,5435704.666,489979.957,0.993,,
65,5435703.341,489978.424,1.060,,
66,5435702.135,489976.800,1.000,,
67,5435700.857,489975.309,1.029,,
68,5435699.591,489973.705,1.005,,
69,5435698.407,489972.187,1.034,,
70,5435697.138,489970.641,1.006,,
71,5435695.909,489969.044,0.906,,
72,5435694.625,489967.527,0.934,,
73,5435693.286,489965.958,0.977,,
74,5435692.007,489964.506,0.953,,
75,5435690.771,489962.947,0.966,,
76,5435689.572,489961.390,1.050,,
77,5435680.648,489871.372,-1.223,,
78,5435679.238,489872.633,-0.721,,
79,5435678.074,489873.892,-0.045,,
80,5435676.624,489875.433,0.251,,
81,5435675.206,489876.934,0.405,,
82,5435673.674,489878.207,0.481,,
83,5435672.387,489879.588,0.564,,
84,5435671.124,489881.037,0.468,,
85,5435669.769,489882.541,0.447,,
86,5435668.362,489883.911,0.739,,
87,5435667.053,489885.399,0.780,,
88,5435665.722,489886.872,0.834,,
89,5435664.359,489888.382,0.889,,
90,5435663.025,489889.829,0.922,,
91,5435661.701,489891.331,0.968,,
92,5435660.461,489892.802,0.986,,
93,5435659.193,489894.238,0.970,,
VRS1,5435784.362,490072.267,-4.316,Base Setup,
VRS2,5435791.202,490071.552,-4.503,Base Setup,
VRS3,5435678.691,489873.300,-0.632,Base Setup,
