Name,Northing,Easting,Elevation,Description,Code & Attribute
1,5451801.477,508978.098,0.165, ,
2,5451802.743,508976.574,0.280, ,
3,5451804.030,508975.076,0.373, ,
4,5451805.295,508973.500,0.460, ,
5,5451806.567,508971.992,0.518, ,
6,5451807.816,508970.449,0.608, ,
7,5451809.095,508968.863,0.613, ,
8,5451810.344,508967.321,0.660, ,
9,5451811.559,508965.770,0.752, ,
10,5451812.853,508964.243,0.758, ,
11,5451814.148,508962.742,0.817, ,
12,5451815.452,508961.204,0.881, ,
13,5451816.730,508959.644,0.845, ,
14,5451817.890,508958.114,0.909, ,
15,5451819.192,508956.575,0.959, ,
16,5451820.423,508955.037,1.025, ,
17,5451821.748,508953.546,1.149, ,
18,5451823.026,508952.010,1.226, ,
19,5451824.324,508950.481,1.299, ,
20,5451825.620,508949.065,1.328, ,
21,5451826.918,508947.557,1.290, ,
22,5451828.191,508946.068,1.248, ,
23,5451829.539,508944.510,1.201, ,
24,5451830.789,508942.930,1.274, ,
25,5451831.969,508941.402,1.367, ,
26,5451833.289,508939.873,1.443, ,
27,5451834.438,508938.381,1.465, ,
28,5451835.973,508937.045,1.442, ,
29,5451837.440,508935.683,1.469, ,
30,5451838.839,508934.314,1.437, ,
31,5451840.223,508932.924,1.386, ,
VRS1,5451495.571,508459.430,-0.627,Base Setup,
VRS2,5451801.511,508977.905,0.112,Base Setup,
