Meter,Northing,Easting,Elevation,Desc,Carex,carex_m,carex_height,soil_pos,soil_desc,rise,slope_dist,slope_percent,hd_calc,hd
0,5450019.729,496130.41,-0.289,i: callsta,,,,-0.289,c1,0,0,0,0,0
2,5450017.806,496130.402,-0.128,i: callsta-pers-sp.-limoaqu-lilaocc,,,,,,0.161,2,0.0805,1.993551076,1.993551076
4,5450015.838,496130.298,0.216,i: callsta-crasaqu-perssp.-veroana,,,,,,0.343,2,0.1715,1.971221057,3.964772133
6,5450013.775,496130.064,0.359,i: callsta-crasaqu-perssp.-veroana,,,,0.359,c2,0.143,2,0.0715,1.994907268,5.959679401
8,5450011.798,496129.844,0.439,i: callsta-lythsal-carelyn-crasaqu,,,,,,0.08,2,0.04,1.998401917,7.958081318
10,5450009.976,496129.529,0.927,s: carelyn,56.8,0.568,1.495,,,0.488,2,0.244,1.942997031,9.901078349
12,5450007.978,496129.214,1.108,i: myriuss-callsta-myossco-carelyn,91.4,0.914,2.022,1.108,c3,0.182,2,0.091,1.991770079,11.89284843
14,5450005.974,496129.103,1.101,,90.2,0.902,2.003,,,-0.008,2,-0.004,1.999984,13.89283243
16,5450005.902,496129.062,1.115,s: carelyn,68.2,0.682,1.797,,,0.014,2,0.007,1.999951002,15.89278343
18,5450004.097,496128.955,1.057,s: carelyn,63.4,0.634,1.691,1.057,c4,-0.058,2,-0.029,1.99915953,17.89194296
20,5450002.127,496128.866,0.745,i: callsta-alistri-agrosto-crasaqu,,,,,,-0.312,2,-0.156,1.97609936,19.86804232
22,5450000.097,496128.854,0.584,s: typhang,,,,,,-0.161,2,-0.0805,1.993551076,21.8615934
24,5449998.058,496128.883,0.446,i: callsta-pers-sp.-typhang-lythsal,,,,0.446,c5,-0.139,2,-0.0695,1.995187178,23.85678058
26,5449996.157,496128.69,0.474,i: callsta-pers-sp.-typhang-lythsal,,,,,,0.029,2,0.0145,1.999789783,25.85657036
28,5449994.129,496128.689,0.584,i: callsta-crasaqu-lythsal-spareme,,,,,,0.109,2,0.0545,1.99703635,27.85360671
30,5449992.175,496128.663,0.54,i: callsta-eleopar-lythsal-myossco,,,,0.54,c6,-0.044,2,-0.022,1.999516176,29.85312288
32,5449990.122,496128.572,0.628,i: callsta-eleopar-crasaqu-limoaqu,,,,,,0.089,2,0.0445,1.998022686,31.85114557
34,5449988.144,496128.523,0.661,i: callsta-eleopar-crasaqu-limoaqu,,,,,,0.032,2,0.016,1.999744049,33.85088962
36,5449986.149,496128.462,0.734,i: callsta-crasaqu-limoaqu-agrosto,,,,0.734,c7,0.074,2,0.037,1.998632404,35.84952202
38,5449984.179,496128.328,0.712,i: callsta-crasaqu-agrosto-perssp.,,,,,,-0.023,2,-0.0115,1.999867763,37.84938979
40,5449982.162,496128.19,1.072,i: callsta-crasaqu-agrosto-scirmic,,,,,,0.36,2,0.18,1.968366648,39.81775643
