Meter,Northing,Easting,Elevation,Desc,Carex,carex_m,carex_height,soil_pos,soil_desc,rise,slope_dist,slope_percent,hd_calc,hd
0,5449787.188,491571.225,-0.49,i: sagilat,,,,-0.49,c1,0,0,0,0,0
2,5449785.238,491571.012,-0.454,i: sagilat-zannpal,,,,,,0.036,2,0.018,1.999676079,1.999676079
4,5449783.299,491570.897,-0.283,i: sagilat-zannpal,,,,,,0.171,2,0.0855,1.992729587,3.992405666
6,5449781.3,491570.695,-0.222,i: sagilat-zannpal,,,,-0.222,c2,0.061,2,0.0305,1.999070399,5.991476064
8,5449779.364,491570.458,-0.158,i: sagilat-zannpal,,,,,,0.064,2,0.032,1.998976786,7.99045285
10,5449777.368,491570.267,-0.068,s: sagilat,,,,,,0.09,2,0.045,1.99797807,9.98843092
12,5449775.421,491570.103,-0.029,d: juncbal / s: carelyn ,61.6,0.616,0.587,-0.029,c3,0.039,2,0.0195,1.999619858,11.98805078
14,5449773.617,491569.949,0.633,d: juncbal / s: carelyn ,69.6,0.696,1.329,,,0.662,2,0.331,1.898691491,13.88674227
16,5449771.629,491569.805,0.77,d: juncbal / s: carelyn ,96.4,0.964,1.734,,,0.137,2,0.0685,1.995324199,15.88206647
18,5449769.738,491569.618,0.947,d: juncbal,96.4,0.964,1.911,0.947,c4,0.177,2,0.0885,1.99221346,17.87427993
20,5449767.726,491569.506,1.139,d: juncbal,,,,,,0.191,2,0.0955,1.990941664,19.86522159
22,5449765.872,491569.395,1.279,d: juncbal / s: phalaru,100.6,1.006,2.285,,,0.141,2,0.0705,1.995048201,21.86026979
