Meter,Northing,Easting,Elevation,Desc,rise,slope_dist,slope_percent,hd_calc,hd,soil_pos,soil_desc
0,5451494.462,508461.222,-0.149,No plants,0,0,0,0,0,-0.149,c1
2,5451496.32,508460.67,-0.101,i: callsta,0.048,2,0.024,1.999424249,1.999424249,,
4,5451498.232,508460.015,-0.034,i: veroana-pers. sp.,0.067,2,0.0335,1.998878694,3.998302942,,
6,5451500.144,508459.419,0.04,i: callsta,0.074,2,0.037,1.998632404,5.996935346,,
8,5451502.053,508458.814,0.106,i: callsta,0.066,2,0.033,1.998911889,7.995847235,,
10,5451503.94,508458.178,0.159,i: callsta-pers. sp.,0.053,2,0.0265,1.99929812,9.995145355,,
12,5451505.838,508457.512,0.229,i: callsta-veroana-pers. sp.,0.07,2,0.035,1.998776124,11.99392148,,
14,5451507.698,508456.845,0.27,i: callsta,0.041,2,0.0205,1.999579882,13.99350136,0.27,c2
16,5451509.621,508456.196,0.32,i: callsta,0.05,2,0.025,1.999375293,15.99287665,,
18,5451511.492,508455.55,0.353,i: callsta-limoaqu,0.033,2,0.0165,1.999727806,17.99260446,,
20,5451513.407,508454.937,0.406,i: callsta-limoaqu-pers. sp.,0.053,2,0.0265,1.99929812,19.99190258,,
22,5451515.293,508454.306,0.44,i: callsta-limoaqu-myriuss,0.034,2,0.017,1.999711063,21.99161364,,
24,5451517.199,508453.673,0.544,i: callsta-crasaqu-lythsal-limoaqu,0.104,2,0.052,1.997301471,23.98891511,,
26,5451519.096,508453.097,0.553,i: lythsal-limoaqu-lysinum,0.009,2,0.0045,1.99997975,25.98889486,,
28,5451521.048,508452.551,0.652,i: callsta-crasaqu-lythsal-limoaqu,0.099,2,0.0495,1.997554244,27.98644911,0.652,c3
30,5451522.915,508451.91,0.736,s: callsta,0.084,2,0.042,1.99823833,29.98468744,,
32,5451524.784,508451.181,0.82,s: callsta,0.084,2,0.042,1.99823833,31.98292577,,
34,5451526.666,508450.514,0.91,d: potanat / s: eleopar,0.09,2,0.045,1.99797807,33.98090384,,
36,5451528.566,508449.86,0.973,i: veroana-ludwpal-pentsed-perssp,0.063,2,0.0315,1.999008488,35.97991233,,
38,5451530.427,508449.212,0.953,d: callsta,-0.02,2,-0.01,1.999900007,37.97981233,,
40,5451532.294,508448.559,0.975,d: callsta,0.022,2,0.011,1.999879011,39.97969134,,
42,5451534.103,508447.975,1.007,s: lythsal-eleopar,0.032,2,0.016,1.999744049,41.97943539,1.007,c4
44,5451536.098,508447.275,1.047,s: lythsal-eleopar,0.04,2,0.02,1.99960012,43.97903551,,
46,5451537.924,508446.632,1.12,s: lythsal-eleopar,0.073,2,0.0365,1.99866908,45.97770459,,
48,5451539.872,508446.016,1.149,s: lythsal,0.029,2,0.0145,1.999789783,47.97749438,,
50,5451541.723,508445.4,1.172,s: lythsal,0.023,2,0.0115,1.999867763,49.97736214,,
52,5451543.557,508444.824,1.185,s: lythsal,0.013,2,0.0065,1.999957751,51.97731989,,
54,5451545.276,508444.266,1.23,s: typhang,0.045,2,0.0225,1.999493942,53.97681383,,
56,5451547.309,508443.497,1.252,d: typhang-myossco,0.022,2,0.011,1.999879011,55.97669284,,
58,5451549.205,508442.68,1.249,d: myossco / s: typhang,-0.003,2,-0.0015,1.99999775,57.97669059,,
60,5451550.988,508441.982,1.165,d: myossco,-0.084,2,-0.042,1.99823833,59.97492892,,
62,5451552.878,508441.27,1.175,d: myossco / s: lythsal,0.01,2,0.005,1.999975,61.97490393,,
64,5451554.798,508440.551,1.263,d: myossco / s: lythsal,0.088,2,0.044,1.998066807,63.97297073,,
66,5451556.548,508439.802,1.275,d: myossco / s: lythsal,0.012,2,0.006,1.999964001,65.97293473,1.275,c5
68,5451558.404,508439.016,1.259,d: myossco / s: lythsal,-0.016,2,-0.008,1.999936003,67.97287074,,
70,5451560.268,508438.39,1.23,d: myossco,-0.029,2,-0.0145,1.999789783,69.97266052,,
72,5451562.224,508437.737,1.28,s: typhang-lythsal-myossco,0.05,2,0.025,1.999375293,71.97203581,,
74,5451564.087,508437.151,1.264,s: typhang-lythsal-myossco,-0.016,2,-0.008,1.999936003,73.97197181,1.264,c6
