Meter,Northing,Easting,Elevation,Desc,Desc2,soil_pos,soil_desc,rise,slope_dist,slope_percent,hd_calc,hd
0,5438348.874,489501.803,-0.476,No plants,No plants,-0.476,c1,0,0,0,0,0
2,5438348.744,489503.81,-0.467,i: eleopal,i: eleopal,,,0.009,2,0.0045,1.99997975,1.99997975
4,5438348.562,489505.784,-0.45,No plants,No plants,,,0.017,2,0.0085,1.999927754,3.999907504
6,5438348.374,489507.755,-0.426,,d: eleopal,,,0.024,2,0.012,1.999856016,5.99976352
8,5438348.231,489509.776,-0.366,,d: eleopal,,,0.06,2,0.03,1.999100607,7.998864127
10,5438348.092,489511.759,-0.384,,i: eleopal,,,-0.018,2,-0.009,1.999919005,9.998783132
12,5438347.965,489513.749,-0.381,,i: eleopal,,,0.003,2,0.0015,1.99999775,11.99878088
14,5438347.839,489515.763,-0.362,,i: eleopal,,,0.019,2,0.0095,1.999909756,13.99869064
16,5438347.685,489517.731,-0.35,,i: eleopal,,,0.012,2,0.006,1.999964001,15.99865464
18,5438347.515,489519.729,-0.332,,i: eleopal,,,0.018,2,0.009,1.999919005,17.99857364
20,5438347.338,489521.724,-0.333,,i: eleopal,,,-0.001,2,-0.0005,1.99999975,19.99857339
22,5438347.239,489523.723,-0.32,,i: eleopal,,,0.013,2,0.0065,1.999957751,21.99853115
24,5438347.091,489525.699,-0.319,,i: eleopal,,,0.001,2,0.0005,1.99999975,23.9985309
26,5438346.963,489527.689,-0.291,,i: eleopal,,,0.028,2,0.014,1.999804029,25.99833492
28,5438346.834,489529.69,-0.294,,i: eleopal,,,-0.003,2,-0.0015,1.99999775,27.99833267
30,5438346.717,489531.685,-0.303,s: eleopal,s: eleopal,,,-0.009,2,-0.0045,1.99997975,29.99831242
32,5438346.55,489533.683,-0.29,,d: eleopal,,,0.013,2,0.0065,1.999957751,31.99827018
34,5438346.443,489535.639,-0.27,,d: eleopal,,,0.02,2,0.01,1.999900007,33.99817018
36,5438346.3,489537.663,-0.221,i: eleopal,i: eleopal,,,0.049,2,0.0245,1.99940002,35.9975702
38,5438346.095,489539.637,-0.239,s: eleopal,s: eleopal,,,-0.018,2,-0.009,1.999919005,37.99748921
40,5438345.984,489541.609,-0.158,,d: eleopal,-0.158,c2,0.081,2,0.0405,1.998361765,39.99585097
42,5438345.839,489543.621,-0.12,,d: eleopal,,,0.038,2,0.019,1.999639098,41.99549007
44,5438345.686,489545.608,-0.064,,d: eleopal,,,0.056,2,0.028,1.999216461,43.99470653
46,5438345.571,489547.589,-0.024,,d: eleopal,,,0.04,2,0.02,1.99960012,45.99430665
48,5438345.39,489549.618,0.019,,d: eleopal,,,0.043,2,0.0215,1.99953791,47.99384456
50,5438345.342,489551.576,-0.006,,d: eleopal,,,-0.025,2,-0.0125,1.999843768,49.99368833
52,5438345.299,489553.598,-0.065,,d: eleopal,,,-0.059,2,-0.0295,1.999130318,51.99281865
54,5438345.203,489555.565,-0.051,,d: eleopal,,,0.014,2,0.007,1.999951002,53.99276965
56,5438345.078,489557.553,0.006,,d: eleopal,,,0.057,2,0.0285,1.999188244,55.99195789
58,5438344.973,489559.555,0.021,,d: eleopal,,,0.015,2,0.0075,1.999943752,57.99190165
60,5438344.858,489561.55,0.013,,d: eleopal,,,-0.008,2,-0.004,1.999984,59.99188565
62,5438344.769,489563.555,-0.054,,d: eleopal,,,-0.067,2,-0.0335,1.998878694,61.99076434
64,5438344.678,489565.55,0.022,,d: eleopal,,,0.076,2,0.038,1.998557562,63.9893219
66,5438344.556,489567.556,0.049,,d: eleopal,,,0.027,2,0.0135,1.999817775,65.98913968
68,5438344.417,489569.54,0.021,,d: eleopal,,,-0.028,2,-0.014,1.999804029,67.98894371
70,5438344.236,489571.518,0.034,d: eleopal / i: schotab,d: eleopal / i: schotab,,,0.013,2,0.0065,1.999957751,69.98890146
72,5438344.099,489573.504,0.043,d: eleopal / i: schotab,d: eleopal / i: schotab,,,0.009,2,0.0045,1.99997975,71.98888121
74,5438343.992,489575.483,-0.043,,d: eleopal,,,-0.086,2,-0.043,1.99815356,73.98703477
76,5438343.927,489577.463,-0.015,,d: eleopal,,,0.028,2,0.014,1.999804029,75.9868388
78,5438343.822,489579.484,0.018,,d: eleopal,,,0.033,2,0.0165,1.999727806,77.9865666
80,5438343.695,489581.445,0.048,,d: eleopal,0.048,c3,0.03,2,0.015,1.999775038,79.98634164
82,5438343.623,489583.473,0.021,,d: eleopal,,,-0.027,2,-0.0135,1.999817775,81.98615941
84,5438343.53,489585.463,-0.034,,d: eleopal,,,-0.055,2,-0.0275,1.999244179,83.98540359
86,5438343.439,489587.466,-0.027,,d: eleopal,,,0.007,2,0.0035,1.99998775,85.98539134
88,5438343.359,489589.473,-0.071,,d: eleopal,,,-0.044,2,-0.022,1.999516176,87.98490752
90,5438343.182,489591.453,-0.118,,d: eleopal,,,-0.047,2,-0.0235,1.999447979,89.9843555
92,5438343.091,489593.428,-0.083,,d: eleopal,,,0.035,2,0.0175,1.99969382,91.98404932
94,5438342.973,489595.464,0.029,d: eleopal / i: schotab,d: eleopal / i: schotab,,,0.112,2,0.056,1.996871357,93.98092067
96,5438342.867,489597.418,0.062,,d: eleopal,,,0.033,2,0.0165,1.999727806,95.98064848
98,5438342.74,489599.427,0.093,,d: eleopal,,,0.031,2,0.0155,1.999759793,97.98040827
100,5438342.665,489601.419,0.134,,d: eleopal,,,0.041,2,0.0205,1.999579882,99.97998816
102,5438342.519,489603.361,0.129,,d: eleopal,,,-0.005,2,-0.0025,1.99999375,101.9799819
104,5438342.333,489605.354,0.037,,d: eleopal,,,-0.092,2,-0.046,1.997887352,103.9778693
106,5438342.166,489607.388,-0.293,,s: eleopal,,,-0.33,2,-0.165,1.973318582,105.9511878
108,5438342.063,489609.336,-0.253,,s: eleopal,,,0.04,2,0.02,1.99960012,107.950788
110,5438341.918,489611.312,0.093,,d: eleopal,,,0.346,2,0.173,1.970726481,109.9215144
112,5438341.797,489613.259,0.158,,d: eleopal,,,0.065,2,0.0325,1.998944586,111.920459
114,5438341.631,489615.3,0.182,,d: eleopal,,,0.024,2,0.012,1.999856016,113.920315
116,5438341.504,489617.292,0.135,,d: eleopal,,,-0.047,2,-0.0235,1.999447979,115.919763
