Meter,Northing,Easting,Elevation,Desc,Carex,carex_m,carex_height,soil_pos,soil_desc,rise,slope_dist,slope_percent,hd_calc,hd
0,5438344.619,489736.936,-0.635,No plants,,,,-0.635,c1,0,0,0,0,0
2,5438342.786,489737.481,-0.622,i: eleopal,,,,,,0.013,2,0.0065,1.999957751,1.999957751
4,5438340.815,489737.917,-0.638,i: eleopal,,,,,,-0.016,2,-0.008,1.999936003,3.999893754
6,5438338.878,489738.411,-0.684,i: zannpal,,,,,,-0.046,2,-0.023,1.99947121,5.999364964
8,5438336.948,489738.868,-0.639,i: eleopal,,,,,,0.045,2,0.0225,1.999493942,7.998858906
10,5438335.026,489739.382,-0.229,s: eleopal,,,,,,0.41,2,0.205,1.959254831,9.958113738
12,5438333.09,489739.81,0.071,d: eleopal,,,,,,0.3,2,0.15,1.977872706,11.93598644
14,5438331.146,489740.221,0.158,d: eleopal,,,,0.158,c2,0.087,2,0.0435,1.998110431,13.93409687
16,5438329.342,489740.807,-0.166,d: eleopal,,,,,,-0.324,2,-0.162,1.974261517,15.90835839
18,5438327.395,489741.392,-0.036,d: eleopal,,,,,,0.13,2,0.065,1.995788341,17.90414673
20,5438325.434,489741.842,0.116,d: eleopal,,,,,,0.152,2,0.076,1.994248902,19.89839563
22,5438323.573,489742.319,-0.134,s: eleopal / i: schotab,,,,,,-0.25,2,-0.125,1.984555753,21.88295139
24,5438321.633,489742.83,-0.466,i: schotab,,,,,,-0.332,2,-0.166,1.97300073,23.85595212
26,5438319.717,489743.284,-0.459,s: eleopal,,,,,,0.007,2,0.0035,1.99998775,25.85593987
28,5438317.779,489743.802,-0.66,s: eleopal,,,,-0.66,c3,-0.201,2,-0.1005,1.989975623,27.84591549
30,5438315.846,489744.251,-0.473,s: eleopal / i: schotab,,,,,,0.187,2,0.0935,1.991314656,29.83723015
32,5438313.93,489744.649,-0.621,s: eleopal,,,,,,-0.148,2,-0.074,1.994546388,31.83177653
34,5438312.024,489745.132,-0.739,i: eleopal,,,,,,-0.118,2,-0.059,1.996528062,33.8283046
36,5438310.111,489745.594,-0.511,i: eleopal-schotab,,,,,,0.228,2,0.114,1.987129316,35.81543391
38,5438308.148,489745.984,-0.519,i: schotab,,,,,,-0.008,2,-0.004,1.999984,37.81541791
40,5438306.236,489746.41,-0.675,i: zannpal,,,,,,-0.156,2,-0.078,1.993943621,39.80936153
42,5438304.458,489746.995,-0.235,d: eleopal,74.8,0.748,0.513,-0.235,c4,0.44,2,0.22,1.953288933,41.76265047
44,5438302.647,489747.395,0.038,d: carelyn / s: eleopal,91.2,0.912,0.95,,,0.273,2,0.1365,1.981624143,43.74427461
46,5438300.937,489748.013,0.156,d: carelyn / s: eleopal,97.6,0.976,1.132,,,0.118,2,0.059,1.996528062,45.74080267
48,5438299.02,489748.331,0.277,d: carelyn,115.4,1.154,1.431,,,0.121,2,0.0605,1.996349768,47.73715244
50,5438297.118,489748.879,0.378,d: carelyn,133.2,1.332,1.71,,,0.101,2,0.0505,1.997454617,49.73460706
52,5438295.268,489748.807,0.438,d: carelyn,140,1.4,1.838,,,0.06,2,0.03,1.999100607,51.73370766
54,5438293.212,489748.754,0.481,d: carelyn,139.8,1.398,1.879,,,0.043,2,0.0215,1.99953791,53.73324557
56,5438291.225,489748.908,0.485,d: carelyn,150.2,1.502,1.987,0.485,c5,0.004,2,0.002,1.999996,55.73324157
58,5438289.245,489748.863,0.465,d: carelyn,150.2,1.502,1.967,,,-0.02,2,-0.01,1.999900007,57.73314158
60,5438287.287,489749.013,0.494,d: carelyn,148.8,1.488,1.982,,,0.029,2,0.0145,1.999789783,59.73293136
62,5438285.264,489749.186,0.527,d: carelyn,144,1.44,1.967,,,0.033,2,0.0165,1.999727806,61.73265917
64,5438283.284,489749.317,0.448,d: carelyn,138,1.38,1.828,,,-0.079,2,-0.0395,1.998441573,63.73110074
66,5438281.268,489749.455,0.47,d: carelyn,130.2,1.302,1.772,,,0.022,2,0.011,1.999879011,65.73097975
68,5438279.321,489749.689,0.494,s: carelyn,149,1.49,1.984,,,0.024,2,0.012,1.999856016,67.73083577
70,5438277.392,489749.692,0.438,s: carelyn-schotab,138.4,1.384,1.822,0.438,c6,-0.056,2,-0.028,1.999216461,69.73005223
72,5438275.415,489749.862,0.404,s: schopun-schotab,,,,,,-0.034,2,-0.017,1.999711063,71.72976329
74,5438273.431,489749.888,0.412,s: schopun-trigmar,,,,,,0.008,2,0.004,1.999984,73.72974729
