Meter,Northing,Easting,Elevation,Desc,Carex,carex_m,carex_height,soil_pos,soil_desc,rise,slope_dist,slope_percent,hd_calc,hd
0,5442236.504,496611.06,-0.141,i: callsta,,,,-0.141,c1,0,0,0,0,0
2,5442238.502,496611.727,-0.129,i: callsta,,,,,,0.012,2,0.006,1.999964001,1.999964001
4,5442240.451,496612.309,-0.073,i: callsta-eleopal,,,,,,0.056,2,0.028,1.999216461,3.999180462
6,5442242.348,496612.875,-0.068,i: callsta-veroana,,,,,,0.005,2,0.0025,1.99999375,5.999174212
8,5442244.248,496613.452,0.013,i: callsta ,,,,,,0.081,2,0.0405,1.998361765,7.997535977
10,5442246.187,496614.023,0.024,i: callsta-veroana-trigsci,,,,,,0.011,2,0.0055,1.999969751,9.997505727
12,5442248.096,496614.534,0.037,i: callsta-veroana,,,,0.037,c2,0.013,2,0.0065,1.999957751,11.99746348
14,5442250.015,496615.081,0.094,i: callsta-sagilat,,,,,,0.057,2,0.0285,1.999188244,13.99665172
16,5442251.944,496615.66,0.07,i: callsta-veroana-lythsal,,,,,,-0.024,2,-0.012,1.999856016,15.99650774
18,5442253.834,496616.233,0.103,i: callsta,,,,,,0.033,2,0.0165,1.999727806,17.99623554
20,5442255.739,496616.809,0.102,i: callsta-veroana,,,,,,-0.001,2,-0.0005,1.99999975,19.99623529
22,5442257.672,496617.303,0.152,i: callsta-veroana,,,,,,0.05,2,0.025,1.999375293,21.99561059
24,5442259.603,496617.93,0.235,i: callsta,,,,0.235,c3,0.083,2,0.0415,1.998279971,23.99389056
26,5442261.508,496618.508,0.245,i: callsta-veroana,,,,,,0.01,2,0.005,1.999975,25.99386556
28,5442263.33,496619.103,0.303,i: callsta-veroana,,,,,,0.058,2,0.029,1.99915953,27.99302509
30,5442265.216,496619.76,0.335,i: callsta-veroana,,,,,,0.032,2,0.016,1.999744049,29.99276914
32,5442267.123,496620.319,0.337,i: callsta-veroana-sagilat,,,,,,0.002,2,0.001,1.999999,31.99276814
34,5442268.983,496621.03,0.373,i: callsta-veroana,,,,,,0.036,2,0.018,1.999676079,33.99244422
36,5442270.885,496621.653,0.409,i: callsta-veroana,,,,0.409,c4,0.036,2,0.018,1.999676079,35.9921203
38,5442272.769,496622.323,0.433,i: callsta-veroana-spareme,,,,,,0.024,2,0.012,1.999856016,37.99197631
40,5442274.674,496622.913,0.434,i: veroana-spareme,,,,,,0.001,2,0.0005,1.99999975,39.99197606
42,5442276.576,496623.59,0.439,d: callsta,,,,,,0.005,2,0.0025,1.99999375,41.99196981
44,5442278.462,496624.186,0.441,d: callsta,,,,,,0.002,2,0.001,1.999999,43.99196881
46,5442280.373,496624.761,0.428,s: callsta,,,,,,-0.013,2,-0.0065,1.999957751,45.99192656
48,5442282.263,496625.329,0.418,i: callsta-veroana,,,,0.418,c5,-0.01,2,-0.005,1.999975,47.99190156
50,5442284.224,496625.849,0.436,i: callsta-veroana-lythsal-limoaqu-trigsci,,,,,,0.018,2,0.009,1.999919005,49.99182057
52,5442286.133,496626.583,0.433,i: callsta-veroana-potanat,,,,,,-0.003,2,-0.0015,1.99999775,51.99181832
54,5442287.974,496627.368,0.422,s: callsta, ,,,,,-0.011,2,-0.0055,1.999969751,53.99178807
56,5442289.855,496628.057,0.466,i: callsta-veroana-lythsal-limoaqu-potanat,,,,,,0.044,2,0.022,1.999516176,55.99130424
58,5442291.68,496628.783,0.568,s: lythsal,,,,,,0.102,2,0.051,1.997404063,57.98870831
60,5442293.546,496629.395,0.624,s: lythsal,,,,0.624,c6,0.056,2,0.028,1.999216461,59.98792477
62,5442295.376,496630.163,0.61,s: lythsal,,,,,,-0.014,2,-0.007,1.999951002,61.98787577
64,5442297.242,496630.816,0.589,i: eleopal-lythsal,,,,,,-0.021,2,-0.0105,1.999889759,63.98776553
66,5442298.997,496631.488,0.636,i: eleopal-lythsal-sagilat-glyc. sp.,,,,,,0.047,2,0.0235,1.999447979,65.98721351
68,5442300.893,496632.162,0.668,i: eleopal-lythsal-sagilat-glyc. sp.-schotab,,,,,,0.032,2,0.016,1.999744049,67.98695756
70,5442302.711,496632.765,0.726,d: carelyn / s: glyc. sp.-eleopal-lythsal,96.4,0.964,1.69,,,0.058,2,0.029,1.99915953,69.98611709
72,5442304.655,496633.286,0.749,d: carelyn / s: agrosto-eleopal-lythsal,100,1,1.749,,,0.023,2,0.0115,1.999867763,71.98598485
74,5442306.419,496633.649,0.745,d: carelyn-eleopal / s: agrosto-eleopal-lythsal,103.7,1.037,1.782,,,-0.004,2,-0.002,1.999996,73.98598085
76,5442308.458,496634.187,0.772,d: carelyn-eleopal-lythsal / s: agrosto-sagilat-schotab ,115.3,1.153,1.925,,,0.027,2,0.0135,1.999817775,75.98579862
