Meter,Northing,Easting,Elevation,Desc,Carex,carex_m,carex_height,soil_pos,soil_desc,rise,slope_dist,slope_percent,hd_calc,hd
0,5446104.639,502599.965,0.004,i: pers. sp.,0,0,,0.004,c1,0,0,0,0,0
2,5446103.44,502601.558,0.113,i: limoaqu-callsta,0,0,,,,0.109,2,0.0545,1.99703635,1.99703635
4,5446102.273,502603.197,0.206,i: veroana-callsta-pers. sp.,0,0,,,,0.093,2,0.0465,1.99784125,3.994877601
6,5446101.01,502604.661,0.358,i: veroana-callsta-spareme-limoaqu,0,0,,,,0.153,2,0.0765,1.994173312,5.989050913
8,5446099.777,502606.223,0.595,s: veroana,0,0,,0.595,c2,0.237,2,0.1185,1.986103929,7.975154842
10,5446098.552,502607.82,0.698,s: veroana,0,0,,,,0.102,2,0.051,1.997404063,9.972558905
12,5446097.331,502609.377,0.712,s: veroana,0,0,,,,0.014,2,0.007,1.999951002,11.97250991
14,5446096.093,502610.982,0.543,i: callsta-spareme-veroana,0,0,,,,-0.169,2,-0.0845,1.992897761,13.96540767
16,5446094.902,502612.561,0.55,i: callsta-spareme,0,0,,0.55,c3,0.007,2,0.0035,1.99998775,15.96539542
18,5446093.709,502614.17,0.609,i: callsta-spareme-veroana,0,0,,,,0.059,2,0.0295,1.999130318,17.96452574
20,5446092.497,502615.742,0.545,i: spareme,0,0,,,,-0.064,2,-0.032,1.998976786,19.96350252
22,5446091.293,502617.336,0.48,i: spareme,0,0,,,,-0.065,2,-0.0325,1.998944586,21.96244711
24,5446090.035,502618.955,0.449,i: spareme-persfol,0,0,,0.449,c4,-0.031,2,-0.0155,1.999759793,23.9622069
26,5446088.944,502620.508,0.458,i: spareme-persfol,0,0,,,,0.009,2,0.0045,1.99997975,25.96218665
28,5446087.558,502621.906,0.334,s: carelyn,38.4,0.384,0.718,,,-0.124,2,-0.062,1.996167047,27.9583537
30,5446086.461,502623.581,0.605,s: carelyn-agrosto,72,0.72,1.325,,,0.271,2,0.1355,1.981888767,29.94024246
32,5446085.368,502625.259,0.707,d: carelyn / s: agrosto,79.4,0.794,1.501,0.707,c5,0.102,2,0.051,1.997404063,31.93764653
34,5446084.146,502626.838,0.766,d: carelyn / s: agrosto,93.6,0.936,1.702,,,0.059,2,0.0295,1.999130318,33.93677685
36,5446082.921,502628.209,0.823,d: carelyn / s: agrosto-equiflu,112.6,1.126,1.949,,,0.057,2,0.0285,1.999188244,35.93596509
38,5446081.753,502629.93,0.917,d: phalaru / s: agrosto-equiflu,103.6,1.036,1.953,,,0.094,2,0.047,1.997794653,37.93375974
40,5446080.636,502631.594,0.937,s: equiflu,105.2,1.052,1.989,0.937,c6,0.02,2,0.01,1.999900007,39.93365975
42,5446079.323,502633.165,0.996,d: phalaru / s: equiflu,113,1.13,2.126,,,0.059,2,0.0295,1.999130318,41.93279007
44,5446078.038,502634.544,1.084,d: phalaru / s: equiflu,132,1.32,2.404,,,0.088,2,0.044,1.998066807,43.93085687
46,5446076.685,502636.076,1.089,d: phalaru / s: equiflu,125.4,1.254,2.343,,,0.004,2,0.002,1.999996,45.93085287
