Meter,Northing,Easting,Elevation,Desc,Carex,carex_m,carex_height,soil_pos,soil_desc,rise,slope_dist,slope_percent,hd_calc,hd
0,5448830.767,503085.22,0.182,i: pers sp. - callsta,0,0,,0.182,c1,,0,0,0,0
2,5448832.411,503084.313,0.289,s: callsta,0,0,,,,0.108,2,0.054,1.997090362,1.997090362
4,5448834.193,503083.317,0.449,d: callsta,0,0,,,,0.16,2,0.08,1.993630557,3.990720919
6,5448835.856,503082.243,0.667,s: callsta-spareme,0,0,,0.667,c2,0.218,2,0.109,1.988223831,5.97894475
8,5448837.569,503081.189,0.697,d: lythsal / s: eleopar,0,0,,,,0.03,2,0.015,1.999775038,7.978719788
10,5448839.257,503080.106,0.874,d: lythsal / s: agrosto-eleopal,46.4,0.464,1.338,,,0.176,2,0.088,1.992300689,9.971020477
12,5448840.962,503079.046,0.846,d: lythsal / s: scirmic-myossco,59.2,0.592,1.438,0.846,c3,-0.027,2,-0.0135,1.999817775,11.97083825
14,5448842.623,503078.028,1.086,d: lythsal / s: scirmic,55.6,0.556,1.642,,,0.24,2,0.12,1.985753677,13.95659193
16,5448844.327,503076.982,1.043,d: lythsal / s: scirmic,0,0,,,,-0.043,2,-0.0215,1.99953791,15.95612984
18,5448846.024,503076.016,1.001,d: lythsal / s: scirmic-agrosto,0,0,,1.001,c4,-0.042,2,-0.021,1.999559146,17.95568899
20,5448847.66,503074.907,1.055,d: lythsal / s: scirmic,0,0,,,,0.054,2,0.027,1.999271398,19.95496038
22,5448849.413,503073.831,0.989,d: lythsal-scirmic,0,0,,,,-0.066,2,-0.033,1.998911889,21.95387227
24,5448851.116,503072.894,0.945,d: lythsal-scirmic-agrosto,0,0,,0.945,c5,-0.044,2,-0.022,1.999516176,23.95338845
26,5448852.832,503071.764,0.983,d: lythsal-juncart,0,0,,,,0.039,2,0.0195,1.999619858,25.95300831
28,5448854.561,503070.856,1.002,d: lythsal-juncart,77.4,0.774,1.776,,,0.019,2,0.0095,1.999909756,27.95291806
30,5448856.346,503069.929,1.023,d: juncart / s: eleopal,67.4,0.674,1.697,1.023,c6,0.02,2,0.01,1.999900007,29.95281807
