Meter,Northing,Easting,Elevation,Desc,Carex,carex_m,carex_height,soil_pos,soil_desc,rise,slope_dist,slope_percent,hd_calc,hd
0,5438954.799,492028.249,-1.223,no plants,,,,,,0,0,,0,0
2,5438952.893,492028.556,-1.104,i: schotab,,,,,,0.119,2,,1.996,1.996456611
4,5438950.984,492028.931,-1.025,i: schotab,,,,,,0.079,2,,1.998,3.994895752
6,5438949.096,492029.27,-0.917,i: schotab,,,,,,0.108,2,,1.997,5.991977623
8,5438947.016,492029.57,-1.072,no plants,,,,,,-0.155,2,,1.994,7.985962327
10,5438945.056,492030.012,-1.051,i: schotab,,,,,,0.021,2,,2,9.985852074
12,5438943.116,492030.262,-0.786,no plants,,,,,,0.265,2,,1.982,11.96821808
14,5438941.243,492030.601,-0.39,sd: eleopal i: schotab,,,,,,0.396,2,,1.96,13.92862212
16,5438939.375,492030.927,0.001,sd: schotab eleopal,,,,,,0.391,2,,1.961,15.89002953
18,5438937.464,492031.408,0.06,d: schotab i: eleopal,,,,,,0.059,2,,1.999,17.88915909
20,5438935.554,492031.787,0.174,sd: schotab eleopal,,,,,,0.114,2,,1.997,19.88590744
22,5438933.553,492031.945,0.286,d: eleopal i: schotab,,,,,,0.112,2,,1.997,21.88276898
24,5438931.461,492032.273,0.391,d: eleopal i: schotab,,,,,,0.105,2,,1.997,23.88001083
26,5438929.595,492032.673,0.424,sd: schotab eleopal,,,,,,0.033,2,,2,25.87973856
28,5438927.699,492033.515,0.192,d: carelyn sd: schotab,158,1.58,1.772,,,-0.232,2,,1.986,27.86623699
30,5438925.84,492033.988,0.36,d: carelyn i: schotab,168.6,1.686,2.046,,,0.168,2,,1.993,29.8591685
32,5438923.861,492034.328,0.461,d: carelyn,186,1.86,2.321,,,0.101,2,,1.997,31.85661662
34,5438921.92,492034.869,0.536,d: carelyn,192.8,1.928,2.464,,,0.075,2,,1.999,33.85520988
36,5438919.942,492035.304,0.693,d: carelyn,184.8,1.848,2.541,,,0.157,2,,1.994,35.8490381
38,5438918.103,492035.802,0.877,d: carelyn sd: phalaru i: agrosto,165,1.65,2.527,,,0.184,2,,1.992,37.84055612
40,5438916.152,492036.264,1.014,d: carelyn i: phalaru agrosto,156.6,1.566,2.58,,,0.137,2,,1.995,39.83585835
42,5438914.205,492036.574,0.994,d: carelyn i: agrosto typhgla,135.4,1.354,2.348,,,-0.02,2,,2,41.83575835
44,5438912.189,492037.011,0.95,d: carelyn i: schotab bidecer,133,1.33,2.28,,,-0.044,2,,2,43.83527429
46,5438910.326,492037.508,0.929,d: carelyn i: schotab sagilat,144,1.44,2.369,,,-0.021,2,,2,45.83516404
48,5438908.397,492037.938,0.846,sd: eleopal schotab i: carelyn sagilat,118.2,1.182,2.028,,,-0.083,2,,1.998,47.83344104
50,5438906.532,492038.538,0.62,sd: schotab sagilat i: carelyn eleopal,109.2,1.092,1.712,,,-0.226,2,,1.987,49.82063102
52,5438904.732,492038.715,1.017,d: carelyn i: agrosto,116.8,1.168,2.185,,,0.397,2,,1.96,51.78083279
54,5438902.824,492039.229,0.717,d: carelyn i: sagilat agrosto,121,1.21,1.927,,,-0.3,2,,1.977,53.75820479
56,5438900.872,492039.687,0.903,d: carelyn sd: agrosto i: typhlat,113.2,1.132,2.035,,,0.186,2,,1.991,55.749537
58,5438899.001,492040.106,1.056,d: carelyn sd: agrosto i: typhlat,136.4,1.364,2.42,,,0.153,2,,1.994,57.74367617
60,5438897.11,492040.738,1.082,sd: typhlat agrosto carelyn,122.2,1.222,2.304,,,0.026,2,,2,59.74350716
62,5438895.105,492040.949,1.029,d: carelyn sd: agrosto i: typhlat,124.8,1.248,2.277,,,-0.053,2,,1.999,61.74280479
64,5438893.201,492041.303,1.084,d: carelyn sd: agrosto i: lythsal,119.6,1.196,2.28,,,0.055,2,,1.999,63.74204839
66,5438891.252,492041.805,1.096,d: carelyn sd: agrosto i: lythsal,116.6,1.166,2.262,,,0.012,2,,2,65.74201239
68,5438889.281,492042.213,1.054,d: carelyn i: typhlat agrosto phalaru,130,1.3,2.354,,,-0.042,2,,2,67.74157135
70,5438887.424,492042.804,1.029,d: carelyn i: typhlat agrosto phalaru,116,1.16,2.189,,,-0.025,2,,2,69.74141509
72,5438885.519,492043.232,0.913,d: carelyn i: typhlat agrosto phalaru,133.6,1.336,2.249,,,-0.116,2,,1.997,71.73804826
74,5438883.529,492043.77,0.946,d: carelyn i: typhlat agrosto phalaru,132.4,1.324,2.27,,,0.033,2,,2,73.73777599
76,5438881.592,492044.152,0.745,d: carelyn i: typhlat agrosto phalaru,109.4,1.094,1.839,,,-0.201,2,,1.99,75.7276501
78,5438879.626,492044.542,0.7,d: carelyn i: typhlat siumsua,140.2,1.402,2.102,,,-0.045,2,,1.999,77.72714379
80,5438877.726,492044.782,0.676,d: carelyn i: schotab sagilat,129.4,1.294,1.97,,,-0.024,2,,2,79.72699978
