Meter,Northing,Easting,Elevation,Desc,Carex,carex_m,carex_height,soil_pos,soil_desc,rise,slope_dist,slope_percent,hd_calc,hd
0,5442537.054,496802.86,-0.002,i: ceradem,,,,-0.002,c1,0,0,0,0,0
2,5442535.917,496804.474,0.015, i: ceradem,,,,,,0.017,2,0.0085,1.999927754,1.999927754
4,5442534.807,496806.13,0.039, i: ceradem-callsta,,,,,,0.024,2,0.012,1.999856016,3.999783769
6,5442533.73,496807.805,0.037, i: ceradem-callsta,,,,,,-0.002,2,-0.001,1.999999,5.999782769
8,5442532.675,496809.532,0.049, i: callsta-persfol,,,,,,0.012,2,0.006,1.999964001,7.99974677
10,5442531.597,496811.192,0.061, i: callsta-persfol,,,,0.061,c2,0.012,2,0.006,1.999964001,9.999710771
12,5442530.525,496812.875,0.067, i: callsta-persfol,,,,,,0.006,2,0.003,1.999991,11.99970177
14,5442529.441,496814.56,0.084, i: callsta-persfol-eleopal,,,,,,0.017,2,0.0085,1.999927754,13.99962953
16,5442528.382,496816.255,0.083, i: callsta-persfol-eleopal-sagilat,,,,,,-0.001,2,-0.0005,1.99999975,15.99962928
18,5442527.276,496817.913,0.1, i: callsta-persfol-eleopal-sagilat-ceradem,,,,,,0.017,2,0.0085,1.999927754,17.99955703
20,5442526.219,496819.57,0.107, i: callsta-persfol-eleopal-sagilat-ceradem,,,,0.107,c3,0.007,2,0.0035,1.99998775,19.99954478
22,5442525.169,496821.295,0.115, i: callsta-persfol,,,,,,0.008,2,0.004,1.999984,21.99952878
24,5442524.084,496822.987,0.143, i: callsta-persfol-ceradem,,,,,,0.028,2,0.014,1.999804029,23.99933281
26,5442522.992,496824.647,0.155, i: ceradem,,,,,,0.012,2,0.006,1.999964001,25.99929681
28,5442521.986,496826.354,0.194, i: ceradem,,,,,,0.039,2,0.0195,1.999619858,27.99891667
30,5442520.857,496828.013,0.206, no plants,,,,0.206,c4,0.012,2,0.006,1.999964001,29.99888067
32,5442519.835,496829.726,0.238, i: callsta-eleopal,,,,,,0.032,2,0.016,1.999744049,31.99862472
34,5442518.622,496831.342,0.24, s: eleopal,15.6,0.156,0.396,,,0.002,2,0.001,1.999999,33.99862372
36,5442516.385,496834.564,0.437, d: eleopal / s: carelyn,37.1,0.371,0.808,,,0.197,2,0.0985,1.990367784,35.9889915
38,5442515.201,496836.183,0.388, d: carelyn / s: eleopal,52.6,0.526,0.914,,,-0.049,2,-0.0245,1.99940002,37.98839152
40,5442514.047,496837.825,0.519, d: carelyn / s: eleopal,58.1,0.581,1.1,0.519,c5,0.131,2,0.0655,1.995723506,39.98411503
42,5442512.94,496839.527,0.598, d: carelyn / s: eleopal,68,0.68,1.278,,,0.079,2,0.0395,1.998441573,41.9825566
44,5442512.082,496841.204,0.648, d: carelyn / s: eleopal,82,0.82,1.468,,,0.05,2,0.025,1.999375293,43.98193189
46,5442511.291,496843.107,0.753, d: carelyn / s: eleopal,83.8,0.838,1.591,,,0.105,2,0.0525,1.997249435,45.97918133
48,5442510.713,496844.958,0.831,d: carelyn,99,0.99,1.821,,,0.078,2,0.039,1.998480733,47.97766206
50,5442509.795,496846.709,0.868,d: carelyn,103.3,1.033,1.901,0.868,c6,0.037,2,0.0185,1.999657838,49.9773199
52,5442508.795,496848.294,1.03,  d:carelyn / s: phalaru,105.6,1.056,2.086,,,0.162,2,0.081,1.99347111,51.97079101
54,5442507.633,496849.663,1.102,  s: carelyn-juncbal-phalaru,128.8,1.288,2.39,,,0.072,2,0.036,1.998705258,53.96949627
56,5442506.864,496851.072,1.136,  s: carelyn-juncbal-phalaru,118.4,1.184,2.32,,,0.034,2,0.017,1.999711063,55.96920733
